file,speaker,label
343.wav,Alec Guinness,bona-fide
345.wav,Mark Zuckerberg,bona-fide
348.wav,Donald Trump,bona-fide
350.wav,Winston Churchill,bona-fide
352.wav,Barack Obama,bona-fide
355.wav,Bill Clinton,bona-fide
356.wav,Ronald Reagan,bona-fide
358.wav,Ayn Rand,bona-fide
359.wav,Louis Farrakhan,bona-fide
360.wav,Barack Obama,bona-fide
362.wav,Bill Clinton,bona-fide
363.wav,Barack Obama,bona-fide
364.wav,Alexandria Ocasio-Cortez,bona-fide
365.wav,Barack Obama,bona-fide
366.wav,Bill Clinton,bona-fide
367.wav,Winston Churchill,bona-fide
369.wav,Barack Obama,bona-fide
370.wav,Christopher Hitchens,bona-fide
371.wav,Louis Farrakhan,bona-fide
373.wav,Ayn Rand,bona-fide
376.wav,Alec Guinness,bona-fide
377.wav,Barack Obama,bona-fide
378.wav,Ayn Rand,bona-fide
379.wav,Christopher Hitchens,bona-fide
381.wav,Barack Obama,bona-fide
382.wav,Arnold Schwarzenegger,bona-fide
383.wav,Ronald Reagan,bona-fide
384.wav,Donald Trump,bona-fide
385.wav,Louis Farrakhan,bona-fide
386.wav,Christopher Hitchens,bona-fide
387.wav,Alec Guinness,bona-fide
388.wav,Barack Obama,bona-fide
389.wav,Richard Nixon,bona-fide
394.wav,Barack Obama,bona-fide
396.wav,Milton Friedman,bona-fide
400.wav,Donald Trump,bona-fide
401.wav,Winston Churchill,bona-fide
404.wav,Barack Obama,bona-fide
405.wav,Christopher Hitchens,bona-fide
406.wav,Donald Trump,bona-fide
407.wav,Donald Trump,bona-fide
409.wav,Bernie Sanders,bona-fide
410.wav,Boris Johnson,bona-fide
411.wav,Donald Trump,bona-fide
412.wav,JFK,bona-fide
413.wav,Donald Trump,bona-fide
414.wav,Dwight Eisenhower,bona-fide
415.wav,Christopher Hitchens,bona-fide
417.wav,Robert Kardashian,bona-fide
418.wav,Nick Offerman,bona-fide
419.wav,Barack Obama,bona-fide
420.wav,Barack Obama,bona-fide
423.wav,Louis Farrakhan,bona-fide
424.wav,Bernie Sanders,bona-fide
425.wav,George Carlin,bona-fide
426.wav,Dwight Eisenhower,bona-fide
428.wav,Barack Obama,bona-fide
429.wav,Bernie Sanders,bona-fide
430.wav,Alec Guinness,bona-fide
431.wav,Donald Trump,bona-fide
434.wav,Donald Trump,bona-fide
435.wav,JFK,bona-fide
436.wav,Mark Zuckerberg,bona-fide
438.wav,Donald Trump,bona-fide
439.wav,Tucker Carlson,bona-fide
442.wav,Gilbert Gottfried,bona-fide
446.wav,Bernie Sanders,bona-fide
447.wav,Bernie Sanders,bona-fide
448.wav,Barack Obama,bona-fide
449.wav,Ayn Rand,bona-fide
450.wav,Ayn Rand,bona-fide
452.wav,Bernie Sanders,bona-fide
453.wav,Donald Trump,bona-fide
455.wav,Robert Kardashian,bona-fide
456.wav,Donald Trump,bona-fide
458.wav,Christopher Hitchens,bona-fide
459.wav,Bernie Sanders,bona-fide
461.wav,Alec Guinness,bona-fide
462.wav,Ayn Rand,bona-fide
465.wav,Barack Obama,bona-fide
467.wav,Donald Trump,bona-fide
468.wav,Donald Trump,bona-fide
469.wav,Barack Obama,bona-fide
470.wav,Barack Obama,bona-fide
471.wav,Milton Friedman,bona-fide
472.wav,Alec Guinness,bona-fide
473.wav,Barack Obama,bona-fide
475.wav,Christopher Hitchens,bona-fide
476.wav,Donald Trump,bona-fide
477.wav,Alec Guinness,bona-fide
478.wav,Donald Trump,bona-fide
479.wav,Bernie Sanders,bona-fide
480.wav,Donald Trump,bona-fide
482.wav,Donald Trump,bona-fide
483.wav,Barack Obama,bona-fide
485.wav,Bill Clinton,bona-fide
486.wav,Ayn Rand,bona-fide
487.wav,Alec Guinness,bona-fide
496.wav,FDR,bona-fide
497.wav,Alec Guinness,bona-fide
498.wav,Bernie Sanders,bona-fide
499.wav,Donald Trump,bona-fide
500.wav,Christopher Hitchens,bona-fide
501.wav,Christopher Hitchens,bona-fide
503.wav,Bernie Sanders,bona-fide
504.wav,Christopher Hitchens,bona-fide
506.wav,Bernie Sanders,bona-fide
507.wav,Arnold Schwarzenegger,bona-fide
508.wav,Barack Obama,bona-fide
510.wav,Alan Watts,bona-fide
511.wav,Bill Burr,bona-fide
513.wav,FDR,bona-fide
516.wav,JFK,bona-fide
517.wav,Donald Trump,bona-fide
518.wav,Milton Friedman,bona-fide
520.wav,Barack Obama,bona-fide
521.wav,Barack Obama,bona-fide
522.wav,Alec Guinness,bona-fide
523.wav,Louis Farrakhan,bona-fide
524.wav,Barack Obama,bona-fide
529.wav,Alec Guinness,bona-fide
530.wav,Barack Obama,bona-fide
532.wav,John Cleese,bona-fide
533.wav,Donald Trump,bona-fide
534.wav,Barack Obama,bona-fide
539.wav,Bernie Sanders,bona-fide
543.wav,Winston Churchill,bona-fide
548.wav,Bernie Sanders,bona-fide
551.wav,Donald Trump,bona-fide
552.wav,Alexandria Ocasio-Cortez,bona-fide
553.wav,Donald Trump,bona-fide
554.wav,Winston Churchill,bona-fide
555.wav,Donald Trump,bona-fide
556.wav,Donald Trump,bona-fide
558.wav,Alec Guinness,bona-fide
559.wav,Ayn Rand,bona-fide
563.wav,Bill Clinton,bona-fide
564.wav,Mark Zuckerberg,bona-fide
568.wav,Adam Driver,bona-fide
575.wav,2Pac,bona-fide
576.wav,Bernie Sanders,bona-fide
580.wav,Alec Guinness,bona-fide
581.wav,JFK,bona-fide
582.wav,Donald Trump,bona-fide
583.wav,Christopher Hitchens,bona-fide
584.wav,Christopher Hitchens,bona-fide
585.wav,Christopher Hitchens,bona-fide
587.wav,Barack Obama,bona-fide
588.wav,Christopher Hitchens,bona-fide
589.wav,Barack Obama,bona-fide
590.wav,Alexandria Ocasio-Cortez,bona-fide
591.wav,Bernie Sanders,bona-fide
595.wav,Winston Churchill,bona-fide
596.wav,Donald Trump,bona-fide
598.wav,Winston Churchill,bona-fide
599.wav,Barack Obama,bona-fide
600.wav,Martin Luther King,bona-fide
601.wav,Bernie Sanders,bona-fide
602.wav,Donald Trump,bona-fide
603.wav,Mark Zuckerberg,bona-fide
604.wav,Bill Clinton,bona-fide
606.wav,Alec Guinness,bona-fide
607.wav,Donald Trump,bona-fide
608.wav,Lyndon Johnson,bona-fide
610.wav,Bernie Sanders,bona-fide
611.wav,Bernie Sanders,bona-fide
612.wav,Ronald Reagan,bona-fide
613.wav,Bernie Sanders,bona-fide
615.wav,Ayn Rand,bona-fide
617.wav,Ronald Reagan,bona-fide
618.wav,Martin Luther King,bona-fide
619.wav,Arnold Schwarzenegger,bona-fide
620.wav,Alec Guinness,bona-fide
622.wav,Barack Obama,bona-fide
623.wav,Bill Clinton,bona-fide
624.wav,Mark Zuckerberg,bona-fide
626.wav,Barack Obama,bona-fide
628.wav,Bill Clinton,bona-fide
629.wav,George Carlin,bona-fide
630.wav,Martin Luther King,bona-fide
632.wav,Winston Churchill,bona-fide
638.wav,Donald Trump,bona-fide
640.wav,Barack Obama,bona-fide
642.wav,Alec Guinness,bona-fide
643.wav,Donald Trump,bona-fide
644.wav,Bernie Sanders,bona-fide
645.wav,Donald Trump,bona-fide
646.wav,Bill Burr,bona-fide
648.wav,Milton Friedman,bona-fide
649.wav,Donald Trump,bona-fide
650.wav,Nick Offerman,bona-fide
652.wav,Bill Clinton,bona-fide
653.wav,George Carlin,bona-fide
654.wav,Alec Guinness,bona-fide
656.wav,Richard Nixon,bona-fide
658.wav,Donald Trump,bona-fide
662.wav,Bill Clinton,bona-fide
665.wav,Christopher Hitchens,bona-fide
666.wav,Barack Obama,bona-fide
667.wav,Donald Trump,bona-fide
668.wav,Barack Obama,bona-fide
669.wav,Barack Obama,bona-fide
670.wav,Christopher Hitchens,bona-fide
671.wav,Robert Kardashian,bona-fide
672.wav,Barack Obama,bona-fide
673.wav,Barack Obama,bona-fide
674.wav,Alec Guinness,bona-fide
675.wav,Alec Guinness,bona-fide
676.wav,Barack Obama,bona-fide
678.wav,Mark Zuckerberg,bona-fide
679.wav,Barack Obama,bona-fide
683.wav,Bill Clinton,bona-fide
684.wav,Alexandria Ocasio-Cortez,bona-fide
686.wav,Arnold Schwarzenegger,bona-fide
689.wav,Dwight Eisenhower,bona-fide
691.wav,Louis Farrakhan,bona-fide
693.wav,Bernie Sanders,bona-fide
694.wav,Donald Trump,bona-fide
697.wav,Donald Trump,bona-fide
698.wav,Barack Obama,bona-fide
699.wav,Barack Obama,bona-fide
700.wav,Mr. Rogers,bona-fide
701.wav,Barack Obama,bona-fide
702.wav,Bernie Sanders,bona-fide
705.wav,Louis Farrakhan,bona-fide
706.wav,Mark Zuckerberg,bona-fide
707.wav,Alec Guinness,bona-fide
710.wav,Bernie Sanders,bona-fide
711.wav,Barack Obama,bona-fide
713.wav,JFK,bona-fide
714.wav,Donald Trump,bona-fide
716.wav,Alec Guinness,bona-fide
719.wav,Barack Obama,bona-fide
721.wav,Barack Obama,bona-fide
723.wav,Arnold Schwarzenegger,bona-fide
724.wav,Ayn Rand,bona-fide
725.wav,Boris Johnson,bona-fide
726.wav,Ayn Rand,bona-fide
727.wav,JFK,bona-fide
729.wav,Billie Eilish,bona-fide
730.wav,JFK,bona-fide
731.wav,Alec Guinness,bona-fide
733.wav,Barack Obama,bona-fide
734.wav,Barack Obama,bona-fide
735.wav,Ayn Rand,bona-fide
736.wav,Bernie Sanders,bona-fide
738.wav,Louis Farrakhan,bona-fide
739.wav,Winston Churchill,bona-fide
740.wav,Donald Trump,bona-fide
741.wav,Alec Guinness,bona-fide
742.wav,Robert Kardashian,bona-fide
744.wav,Martin Luther King,bona-fide
745.wav,Bernie Sanders,bona-fide
746.wav,Barack Obama,bona-fide
747.wav,Donald Trump,bona-fide
748.wav,Ayn Rand,bona-fide
750.wav,Louis Farrakhan,bona-fide
751.wav,Ayn Rand,bona-fide
752.wav,Martin Luther King,bona-fide
754.wav,Barack Obama,bona-fide
755.wav,Christopher Hitchens,bona-fide
757.wav,Ronald Reagan,bona-fide
759.wav,Louis Farrakhan,bona-fide
760.wav,Barack Obama,bona-fide
761.wav,Donald Trump,bona-fide
762.wav,Alan Watts,bona-fide
765.wav,Alec Guinness,bona-fide
766.wav,Ronald Reagan,bona-fide
767.wav,Donald Trump,bona-fide
771.wav,Donald Trump,bona-fide
772.wav,Donald Trump,bona-fide
774.wav,Barack Obama,bona-fide
775.wav,Barack Obama,bona-fide
776.wav,Barack Obama,bona-fide
777.wav,Malcolm X,bona-fide
778.wav,Boris Johnson,bona-fide
779.wav,Donald Trump,bona-fide
780.wav,Jeff Goldblum,bona-fide
785.wav,Arnold Schwarzenegger,bona-fide
786.wav,Alec Guinness,bona-fide
788.wav,George Carlin,bona-fide
789.wav,Ayn Rand,bona-fide
790.wav,Alec Guinness,bona-fide
792.wav,Ayn Rand,bona-fide
793.wav,Lyndon Johnson,bona-fide
794.wav,Bill Clinton,bona-fide
796.wav,Ayn Rand,bona-fide
799.wav,Bernie Sanders,bona-fide
801.wav,JFK,bona-fide
804.wav,Barack Obama,bona-fide
805.wav,Bill Clinton,bona-fide
806.wav,Ronald Reagan,bona-fide
808.wav,Christopher Hitchens,bona-fide
810.wav,Barack Obama,bona-fide
812.wav,Bernie Sanders,bona-fide
813.wav,Barack Obama,bona-fide
814.wav,Donald Trump,bona-fide
815.wav,Winston Churchill,bona-fide
817.wav,Louis Farrakhan,bona-fide
818.wav,Alec Guinness,bona-fide
819.wav,Barack Obama,bona-fide
821.wav,Alec Guinness,bona-fide
823.wav,Donald Trump,bona-fide
824.wav,Barack Obama,bona-fide
825.wav,Arnold Schwarzenegger,bona-fide
826.wav,Mark Zuckerberg,bona-fide
828.wav,Bill Clinton,bona-fide
829.wav,Donald Trump,bona-fide
830.wav,Barack Obama,bona-fide
831.wav,Nick Offerman,bona-fide
832.wav,Donald Trump,bona-fide
833.wav,Christopher Hitchens,bona-fide
837.wav,Bernie Sanders,bona-fide
844.wav,JFK,bona-fide
845.wav,Donald Trump,bona-fide
846.wav,Ayn Rand,bona-fide
847.wav,Donald Trump,bona-fide
849.wav,Richard Nixon,bona-fide
850.wav,Winston Churchill,bona-fide
851.wav,Winston Churchill,bona-fide
854.wav,Donald Trump,bona-fide
855.wav,FDR,bona-fide
858.wav,Jimmy Carter,bona-fide
859.wav,Donald Trump,bona-fide
860.wav,Barack Obama,bona-fide
861.wav,Donald Trump,bona-fide
862.wav,Donald Trump,bona-fide
863.wav,Ayn Rand,bona-fide
866.wav,Bernie Sanders,bona-fide
867.wav,JFK,bona-fide
869.wav,Alec Guinness,bona-fide
871.wav,Bill Clinton,bona-fide
872.wav,Mark Zuckerberg,bona-fide
875.wav,Alec Guinness,bona-fide
876.wav,FDR,bona-fide
878.wav,Donald Trump,bona-fide
880.wav,Alec Guinness,bona-fide
885.wav,Louis Farrakhan,bona-fide
886.wav,Donald Trump,bona-fide
887.wav,Donald Trump,bona-fide
890.wav,Barack Obama,bona-fide
892.wav,Alec Guinness,bona-fide
894.wav,Donald Trump,bona-fide
895.wav,Bill Clinton,bona-fide
896.wav,Milton Friedman,bona-fide
897.wav,Alec Guinness,bona-fide
899.wav,Donald Trump,bona-fide
900.wav,Christopher Hitchens,bona-fide
902.wav,Ronald Reagan,bona-fide
903.wav,FDR,bona-fide
906.wav,Donald Trump,bona-fide
907.wav,Queen Elizabeth II,bona-fide
910.wav,Bernie Sanders,bona-fide
911.wav,JFK,bona-fide
912.wav,Ayn Rand,bona-fide
913.wav,Christopher Hitchens,bona-fide
914.wav,Bill Clinton,bona-fide
915.wav,Barack Obama,bona-fide
917.wav,Ayn Rand,bona-fide
918.wav,Bill Clinton,bona-fide
919.wav,Donald Trump,bona-fide
920.wav,Donald Trump,bona-fide
921.wav,Barack Obama,bona-fide
922.wav,Nick Offerman,bona-fide
923.wav,Martin Luther King,bona-fide
925.wav,Christopher Hitchens,bona-fide
926.wav,Barack Obama,bona-fide
927.wav,Alec Guinness,bona-fide
928.wav,Bill Clinton,bona-fide
929.wav,Bernie Sanders,bona-fide
930.wav,Barack Obama,bona-fide
931.wav,Donald Trump,bona-fide
932.wav,Bill Clinton,bona-fide
934.wav,JFK,bona-fide
935.wav,Ronald Reagan,bona-fide
936.wav,Donald Trump,bona-fide
937.wav,FDR,bona-fide
939.wav,Bill Clinton,bona-fide
941.wav,George Carlin,bona-fide
945.wav,Bernie Sanders,bona-fide
946.wav,Bill Clinton,bona-fide
947.wav,Donald Trump,bona-fide
948.wav,FDR,bona-fide
949.wav,Bernie Sanders,bona-fide
951.wav,Boris Johnson,bona-fide
952.wav,Alec Guinness,bona-fide
954.wav,Bill Clinton,bona-fide
956.wav,Donald Trump,bona-fide
958.wav,Donald Trump,bona-fide
959.wav,Bernie Sanders,bona-fide
960.wav,Barack Obama,bona-fide
961.wav,Barack Obama,bona-fide
962.wav,Donald Trump,bona-fide
964.wav,Alec Guinness,bona-fide
965.wav,Barack Obama,bona-fide
966.wav,Barack Obama,bona-fide
969.wav,JFK,bona-fide
971.wav,Christopher Hitchens,bona-fide
973.wav,Barack Obama,bona-fide
974.wav,Arnold Schwarzenegger,bona-fide
975.wav,Barack Obama,bona-fide
976.wav,Winston Churchill,bona-fide
981.wav,Nelson Mandela,bona-fide
984.wav,George Carlin,bona-fide
985.wav,Alec Guinness,bona-fide
986.wav,Donald Trump,bona-fide
987.wav,Ayn Rand,bona-fide
988.wav,JFK,bona-fide
992.wav,Barack Obama,bona-fide
993.wav,JFK,bona-fide
994.wav,Alec Guinness,bona-fide
995.wav,Jeff Goldblum,bona-fide
997.wav,Barack Obama,bona-fide
998.wav,Richard Nixon,bona-fide
1000.wav,Barack Obama,bona-fide
1001.wav,Donald Trump,bona-fide
1002.wav,Adam Driver,bona-fide
1004.wav,Bernie Sanders,bona-fide
1005.wav,Donald Trump,bona-fide
1007.wav,Donald Trump,bona-fide
1009.wav,Arnold Schwarzenegger,bona-fide
1010.wav,Ronald Reagan,bona-fide
1011.wav,George Carlin,bona-fide
1016.wav,Bernie Sanders,bona-fide
1018.wav,Louis Farrakhan,bona-fide
1019.wav,Barack Obama,bona-fide
1022.wav,FDR,bona-fide
1023.wav,Alec Guinness,bona-fide
1024.wav,Barack Obama,bona-fide
1025.wav,Ayn Rand,bona-fide
1026.wav,JFK,bona-fide
1027.wav,Donald Trump,bona-fide
1029.wav,Donald Trump,bona-fide
1031.wav,JFK,bona-fide
1032.wav,Ronald Reagan,bona-fide
1035.wav,Ronald Reagan,bona-fide
1036.wav,Donald Trump,bona-fide
1037.wav,Louis Farrakhan,bona-fide
1038.wav,Alec Guinness,bona-fide
1039.wav,Barack Obama,bona-fide
1040.wav,Louis Farrakhan,bona-fide
1041.wav,Ayn Rand,bona-fide
1042.wav,Alexandria Ocasio-Cortez,bona-fide
1043.wav,Bill Clinton,bona-fide
1044.wav,Tucker Carlson,bona-fide
1045.wav,Donald Trump,bona-fide
1046.wav,Donald Trump,bona-fide
1047.wav,Milton Friedman,bona-fide
1049.wav,Barack Obama,bona-fide
1050.wav,Barack Obama,bona-fide
1052.wav,Malcolm X,bona-fide
1053.wav,Martin Luther King,bona-fide
1054.wav,Queen Elizabeth II,bona-fide
1055.wav,Bernie Sanders,bona-fide
1056.wav,Bill Clinton,bona-fide
1057.wav,Donald Trump,bona-fide
1058.wav,Alec Guinness,bona-fide
1060.wav,Mark Zuckerberg,bona-fide
1062.wav,Ayn Rand,bona-fide
1063.wav,Barack Obama,bona-fide
1065.wav,Donald Trump,bona-fide
1066.wav,Bernie Sanders,bona-fide
1067.wav,Mark Zuckerberg,bona-fide
1070.wav,JFK,bona-fide
1072.wav,Barack Obama,bona-fide
1074.wav,Barack Obama,bona-fide
1075.wav,Donald Trump,bona-fide
1076.wav,Donald Trump,bona-fide
1077.wav,Ayn Rand,bona-fide
1079.wav,Ayn Rand,bona-fide
1080.wav,Alexandria Ocasio-Cortez,bona-fide
1081.wav,Richard Nixon,bona-fide
1083.wav,Bill Clinton,bona-fide
1084.wav,Alec Guinness,bona-fide
1085.wav,Donald Trump,bona-fide
1086.wav,Barack Obama,bona-fide
1088.wav,Martin Luther King,bona-fide
1089.wav,Donald Trump,bona-fide
1091.wav,Bernie Sanders,bona-fide
1093.wav,Winston Churchill,bona-fide
1094.wav,Donald Trump,bona-fide
1096.wav,Barack Obama,bona-fide
1098.wav,Bill Clinton,bona-fide
1099.wav,JFK,bona-fide
1101.wav,Mark Zuckerberg,bona-fide
1102.wav,Barack Obama,bona-fide
1103.wav,Barack Obama,bona-fide
1104.wav,Alec Guinness,bona-fide
1107.wav,Alec Guinness,bona-fide
1108.wav,Bill Clinton,bona-fide
1109.wav,Christopher Hitchens,bona-fide
1111.wav,Bill Clinton,bona-fide
1112.wav,Martin Luther King,bona-fide
1113.wav,Bernie Sanders,bona-fide
1118.wav,Donald Trump,bona-fide
1119.wav,Bernie Sanders,bona-fide
1120.wav,Martin Luther King,bona-fide
1124.wav,Boris Johnson,bona-fide
1125.wav,Christopher Hitchens,bona-fide
1129.wav,Alec Guinness,bona-fide
1130.wav,Ayn Rand,bona-fide
1131.wav,Alec Guinness,bona-fide
1133.wav,Louis Farrakhan,bona-fide
1134.wav,Barack Obama,bona-fide
1135.wav,Barack Obama,bona-fide
1137.wav,Bernie Sanders,bona-fide
1138.wav,Bernie Sanders,bona-fide
1140.wav,Bernie Sanders,bona-fide
1141.wav,Barack Obama,bona-fide
1142.wav,Barack Obama,bona-fide
1143.wav,Donald Trump,bona-fide
