file,speaker,label
191.wav,Mark Zuckerberg,spoof
193.wav,The Notorious B.I.G.,spoof
207.wav,Jerry Seinfeld,spoof
209.wav,Nelson Mandela,spoof
211.wav,Ronald Reagan,spoof
214.wav,George W. Bush,spoof
215.wav,Alec Guinness,spoof
224.wav,John Cleese,spoof
225.wav,Bill Clinton,spoof
226.wav,Nelson Mandela,spoof
229.wav,The Notorious B.I.G.,spoof
231.wav,Frank Sinatra,spoof
236.wav,Alec Guinness,spoof
246.wav,Martin Luther King,spoof
251.wav,Barack Obama,spoof
253.wav,Alexandria Ocasio-Cortez,spoof
257.wav,Richard Nixon,spoof
261.wav,Alec Guinness,spoof
265.wav,Alec Guinness,spoof
267.wav,Alec Guinness,spoof
269.wav,Ayn Rand,spoof
270.wav,Queen Elizabeth II,spoof
271.wav,Ronald Reagan,spoof
273.wav,Mark Zuckerberg,spoof
275.wav,Alec Guinness,spoof
277.wav,Ayn Rand,spoof
278.wav,Bill Clinton,spoof
282.wav,Ayn Rand,spoof
283.wav,John Cleese,spoof
285.wav,Winston Churchill,spoof
287.wav,Bill Clinton,spoof
292.wav,Bernie Sanders,spoof
293.wav,Bernie Sanders,spoof
294.wav,Bernie Sanders,spoof
295.wav,Dwight Eisenhower,spoof
296.wav,Alec Guinness,spoof
297.wav,Malcolm X,spoof
302.wav,Alec Guinness,spoof
303.wav,Louis Farrakhan,spoof
307.wav,Ronald Reagan,spoof
310.wav,JFK,spoof
312.wav,Christopher Hitchens,spoof
317.wav,Arnold Schwarzenegger,spoof
318.wav,Gilbert Gottfried,spoof
319.wav,Ronald Reagan,spoof
324.wav,Barack Obama,spoof
338.wav,Ronald Reagan,spoof
339.wav,Ronald Reagan,spoof
341.wav,Bill Clinton,spoof
342.wav,Frank Sinatra,spoof
344.wav,Kamala Harris,spoof
346.wav,Richard Nixon,spoof
347.wav,George W. Bush,spoof
349.wav,Alec Guinness,spoof
351.wav,Bill Clinton,spoof
353.wav,Orson Welles,spoof
354.wav,Martin Luther King,spoof
357.wav,Ronald Reagan,spoof
361.wav,Bill Clinton,spoof
368.wav,Arnold Schwarzenegger,spoof
372.wav,Alec Guinness,spoof
374.wav,Christopher Hitchens,spoof
375.wav,Alec Guinness,spoof
380.wav,Alec Guinness,spoof
390.wav,Louis Farrakhan,spoof
391.wav,Ronald Reagan,spoof
392.wav,Donald Trump,spoof
393.wav,Alec Guinness,spoof
395.wav,Martin Luther King,spoof
397.wav,Mark Zuckerberg,spoof
398.wav,Bernie Sanders,spoof
399.wav,Alec Guinness,spoof
402.wav,Alan Watts,spoof
403.wav,FDR,spoof
408.wav,2Pac,spoof
416.wav,Nelson Mandela,spoof
421.wav,Bernie Sanders,spoof
422.wav,Bernie Sanders,spoof
427.wav,Mark Zuckerberg,spoof
432.wav,Alan Watts,spoof
433.wav,Bob Ross,spoof
437.wav,Boris Johnson,spoof
440.wav,Donald Trump,spoof
441.wav,Bernie Sanders,spoof
443.wav,Arnold Schwarzenegger,spoof
444.wav,Nelson Mandela,spoof
445.wav,Mark Zuckerberg,spoof
451.wav,Winston Churchill,spoof
454.wav,Ronald Reagan,spoof
457.wav,Ronald Reagan,spoof
460.wav,Martin Luther King,spoof
463.wav,Ronald Reagan,spoof
464.wav,Bernie Sanders,spoof
466.wav,Alec Guinness,spoof
474.wav,Donald Trump,spoof
481.wav,Alec Guinness,spoof
484.wav,Alec Guinness,spoof
488.wav,Alec Guinness,spoof
489.wav,Gilbert Gottfried,spoof
490.wav,Gilbert Gottfried,spoof
491.wav,Norm MacDonald,spoof
492.wav,Ronald Reagan,spoof
493.wav,Milton Friedman,spoof
494.wav,Richard Nixon,spoof
495.wav,Bernie Sanders,spoof
502.wav,Alec Guinness,spoof
505.wav,Milton Friedman,spoof
509.wav,Gilbert Gottfried,spoof
512.wav,Louis C.K.,spoof
514.wav,Richard Nixon,spoof
515.wav,Bill Clinton,spoof
519.wav,Alec Guinness,spoof
525.wav,Mark Zuckerberg,spoof
526.wav,The Notorious B.I.G.,spoof
527.wav,FDR,spoof
528.wav,Alan Watts,spoof
531.wav,Ronald Reagan,spoof
535.wav,The Notorious B.I.G.,spoof
536.wav,Winston Churchill,spoof
537.wav,JFK,spoof
538.wav,The Notorious B.I.G.,spoof
540.wav,Ayn Rand,spoof
541.wav,Ayn Rand,spoof
542.wav,Louis Farrakhan,spoof
544.wav,Alec Guinness,spoof
545.wav,Milton Friedman,spoof
546.wav,Bernie Sanders,spoof
547.wav,FDR,spoof
549.wav,JFK,spoof
550.wav,Mark Zuckerberg,spoof
557.wav,Barack Obama,spoof
560.wav,Malcolm X,spoof
561.wav,Alec Guinness,spoof
562.wav,Alec Guinness,spoof
565.wav,Queen Elizabeth II,spoof
566.wav,Alec Guinness,spoof
567.wav,Richard Nixon,spoof
569.wav,Bernie Sanders,spoof
570.wav,The Notorious B.I.G.,spoof
571.wav,Christopher Hitchens,spoof
572.wav,The Notorious B.I.G.,spoof
573.wav,Christopher Hitchens,spoof
574.wav,Alec Guinness,spoof
577.wav,Christopher Hitchens,spoof
578.wav,Ayn Rand,spoof
579.wav,Alec Guinness,spoof
586.wav,Robert Kardashian,spoof
592.wav,Bernie Sanders,spoof
593.wav,Christopher Hitchens,spoof
594.wav,Bernie Sanders,spoof
597.wav,Christopher Hitchens,spoof
605.wav,Donald Trump,spoof
609.wav,Martin Luther King,spoof
614.wav,Alec Guinness,spoof
616.wav,Mark Zuckerberg,spoof
621.wav,Mark Zuckerberg,spoof
625.wav,Ronald Reagan,spoof
627.wav,Mark Zuckerberg,spoof
631.wav,Alec Guinness,spoof
633.wav,Ayn Rand,spoof
634.wav,Bernie Sanders,spoof
635.wav,Barack Obama,spoof
636.wav,Donald Trump,spoof
637.wav,Queen Elizabeth II,spoof
639.wav,Martin Luther King,spoof
641.wav,Martin Luther King,spoof
647.wav,Ronald Reagan,spoof
651.wav,Bernie Sanders,spoof
655.wav,Alan Watts,spoof
657.wav,Bill Clinton,spoof
659.wav,Christopher Hitchens,spoof
660.wav,Bill Clinton,spoof
661.wav,Christopher Hitchens,spoof
663.wav,Donald Trump,spoof
664.wav,Ayn Rand,spoof
677.wav,Richard Nixon,spoof
680.wav,Bill Clinton,spoof
681.wav,Bill Clinton,spoof
682.wav,George W. Bush,spoof
685.wav,Bernie Sanders,spoof
687.wav,2Pac,spoof
688.wav,Norm MacDonald,spoof
690.wav,Alec Guinness,spoof
692.wav,Louis Farrakhan,spoof
695.wav,FDR,spoof
696.wav,Ronald Reagan,spoof
703.wav,Bill Burr,spoof
704.wav,Alec Guinness,spoof
708.wav,Ayn Rand,spoof
709.wav,Ayn Rand,spoof
712.wav,George W. Bush,spoof
715.wav,Bernie Sanders,spoof
717.wav,Mark Zuckerberg,spoof
718.wav,Bernie Sanders,spoof
720.wav,Mark Zuckerberg,spoof
722.wav,Ronald Reagan,spoof
728.wav,Jerry Seinfeld,spoof
732.wav,Mark Zuckerberg,spoof
737.wav,Bill Clinton,spoof
743.wav,George Carlin,spoof
749.wav,Bernie Sanders,spoof
753.wav,Queen Elizabeth II,spoof
756.wav,Bernie Sanders,spoof
758.wav,Barack Obama,spoof
763.wav,Norm MacDonald,spoof
764.wav,Alec Guinness,spoof
768.wav,Ronald Reagan,spoof
769.wav,Queen Elizabeth II,spoof
770.wav,Christopher Hitchens,spoof
773.wav,Bill Burr,spoof
781.wav,Milton Friedman,spoof
782.wav,Harry Truman,spoof
783.wav,Alec Guinness,spoof
784.wav,Mark Zuckerberg,spoof
787.wav,Ayn Rand,spoof
791.wav,Arnold Schwarzenegger,spoof
795.wav,Bill Burr,spoof
797.wav,Scarlett Johansson,spoof
798.wav,Ayn Rand,spoof
800.wav,Ronald Reagan,spoof
802.wav,Ayn Rand,spoof
803.wav,Winston Churchill,spoof
807.wav,Bernie Sanders,spoof
809.wav,Nelson Mandela,spoof
811.wav,Kanye West,spoof
816.wav,Bernie Sanders,spoof
820.wav,Barack Obama,spoof
822.wav,Ayn Rand,spoof
827.wav,Nelson Mandela,spoof
834.wav,Alec Guinness,spoof
835.wav,Bernie Sanders,spoof
836.wav,Ronald Reagan,spoof
838.wav,Barack Obama,spoof
839.wav,George W. Bush,spoof
840.wav,Christopher Hitchens,spoof
841.wav,Alec Guinness,spoof
842.wav,Bernie Sanders,spoof
843.wav,Alexandria Ocasio-Cortez,spoof
848.wav,Alec Guinness,spoof
852.wav,Orson Welles,spoof
853.wav,Richard Nixon,spoof
856.wav,Ronald Reagan,spoof
857.wav,Barack Obama,spoof
864.wav,Ayn Rand,spoof
865.wav,Ayn Rand,spoof
868.wav,Bill Clinton,spoof
870.wav,Milton Friedman,spoof
873.wav,JFK,spoof
874.wav,Milton Friedman,spoof
877.wav,Ayn Rand,spoof
879.wav,Martin Luther King,spoof
881.wav,Bernie Sanders,spoof
882.wav,Bernie Sanders,spoof
883.wav,Bernie Sanders,spoof
884.wav,Jerry Seinfeld,spoof
888.wav,Bill Clinton,spoof
889.wav,Adam Driver,spoof
891.wav,Mark Zuckerberg,spoof
893.wav,Martin Luther King,spoof
898.wav,Barack Obama,spoof
901.wav,Bernie Sanders,spoof
904.wav,Mr. Rogers,spoof
905.wav,Gilbert Gottfried,spoof
908.wav,Alec Guinness,spoof
909.wav,Winston Churchill,spoof
916.wav,Milton Friedman,spoof
924.wav,Alec Guinness,spoof
933.wav,Ayn Rand,spoof
938.wav,FDR,spoof
940.wav,Christopher Hitchens,spoof
942.wav,Mark Zuckerberg,spoof
943.wav,Orson Welles,spoof
944.wav,Ayn Rand,spoof
950.wav,Alec Guinness,spoof
953.wav,JFK,spoof
955.wav,Winston Churchill,spoof
957.wav,Bill Clinton,spoof
963.wav,Ronald Reagan,spoof
967.wav,Winston Churchill,spoof
968.wav,Kanye West,spoof
970.wav,Alec Guinness,spoof
972.wav,Alan Watts,spoof
977.wav,Alec Guinness,spoof
978.wav,Mr. Rogers,spoof
979.wav,Ayn Rand,spoof
980.wav,Ayn Rand,spoof
982.wav,Ronald Reagan,spoof
983.wav,Ronald Reagan,spoof
989.wav,Milton Friedman,spoof
990.wav,Barack Obama,spoof
991.wav,Bill Clinton,spoof
996.wav,Queen Elizabeth II,spoof
999.wav,Mr. Rogers,spoof
1003.wav,Bill Burr,spoof
1006.wav,Ayn Rand,spoof
1008.wav,2Pac,spoof
1012.wav,Bernie Sanders,spoof
1013.wav,Christopher Hitchens,spoof
1014.wav,Martin Luther King,spoof
1015.wav,Alec Guinness,spoof
1017.wav,Ayn Rand,spoof
1020.wav,Kanye West,spoof
1021.wav,Gilbert Gottfried,spoof
1028.wav,Tucker Carlson,spoof
1030.wav,Adam Driver,spoof
1033.wav,Ayn Rand,spoof
1034.wav,Mark Zuckerberg,spoof
1048.wav,The Notorious B.I.G.,spoof
1051.wav,Alec Guinness,spoof
1059.wav,Jerry Seinfeld,spoof
1061.wav,Orson Welles,spoof
1064.wav,Bill Clinton,spoof
1068.wav,Ronald Reagan,spoof
1069.wav,Ayn Rand,spoof
1071.wav,Queen Elizabeth II,spoof
1073.wav,Alec Guinness,spoof
1078.wav,Alec Guinness,spoof
1082.wav,Alec Guinness,spoof
1087.wav,Alec Guinness,spoof
1090.wav,Queen Elizabeth II,spoof
1092.wav,Bernie Sanders,spoof
1095.wav,Ronald Reagan,spoof
1097.wav,Alec Guinness,spoof
1100.wav,Barack Obama,spoof
1105.wav,Ayn Rand,spoof
1106.wav,Queen Elizabeth II,spoof
1110.wav,Bernie Sanders,spoof
1114.wav,Jerry Seinfeld,spoof
1115.wav,Mitch Hedberg,spoof
1116.wav,Bill Clinton,spoof
1117.wav,Ronald Reagan,spoof
1121.wav,Alec Guinness,spoof
1122.wav,Louis C.K.,spoof
1123.wav,Alec Guinness,spoof
1126.wav,Frank Sinatra,spoof
1127.wav,Ronald Reagan,spoof
1128.wav,Alan Watts,spoof
1132.wav,Alec Guinness,spoof
1136.wav,Alec Guinness,spoof
1139.wav,JFK,spoof
1144.wav,Ronald Reagan,spoof
1145.wav,Ayn Rand,spoof
1148.wav,Gilbert Gottfried,spoof
1150.wav,Alec Guinness,spoof
1160.wav,Queen Elizabeth II,spoof
1161.wav,Malcolm X,spoof
1165.wav,Ayn Rand,spoof
1169.wav,Alec Guinness,spoof
1170.wav,Alec Guinness,spoof
1171.wav,Malcolm X,spoof
1177.wav,Ayn Rand,spoof
1181.wav,Martin Luther King,spoof
1182.wav,Ayn Rand,spoof
1183.wav,Martin Luther King,spoof
1184.wav,Dwight Eisenhower,spoof
1186.wav,Barack Obama,spoof
1191.wav,Orson Welles,spoof
1195.wav,Christopher Hitchens,spoof
1197.wav,Kanye West,spoof
1198.wav,Bernie Sanders,spoof
1201.wav,Milton Friedman,spoof
1202.wav,Milton Friedman,spoof
1203.wav,Alec Guinness,spoof
1205.wav,Winston Churchill,spoof
1207.wav,Barack Obama,spoof
1208.wav,Robert Kardashian,spoof
1212.wav,Barack Obama,spoof
1214.wav,Milton Friedman,spoof
1217.wav,Martin Luther King,spoof
1222.wav,Queen Elizabeth II,spoof
1223.wav,Ronald Reagan,spoof
1224.wav,Winston Churchill,spoof
1225.wav,Norm MacDonald,spoof
1226.wav,Alec Guinness,spoof
1227.wav,Queen Elizabeth II,spoof
1228.wav,Alec Guinness,spoof
1229.wav,Alec Guinness,spoof
1231.wav,Louis C.K.,spoof
1234.wav,Alec Guinness,spoof
1237.wav,George W. Bush,spoof
1239.wav,Ronald Reagan,spoof
1240.wav,Ayn Rand,spoof
1242.wav,Ayn Rand,spoof
1244.wav,Donald Trump,spoof
1246.wav,Alec Guinness,spoof
1249.wav,Alan Watts,spoof
1251.wav,Bill Clinton,spoof
1252.wav,The Notorious B.I.G.,spoof
1253.wav,Barack Obama,spoof
1254.wav,Ayn Rand,spoof
1258.wav,JFK,spoof
1263.wav,Alec Guinness,spoof
1264.wav,Nelson Mandela,spoof
1266.wav,Barack Obama,spoof
1270.wav,Frank Sinatra,spoof
1273.wav,Bill Burr,spoof
1274.wav,Mark Zuckerberg,spoof
1279.wav,Mark Zuckerberg,spoof
1281.wav,Nelson Mandela,spoof
1282.wav,Ronald Reagan,spoof
1283.wav,Alan Watts,spoof
1286.wav,Ayn Rand,spoof
1290.wav,Barack Obama,spoof
1293.wav,Dwight Eisenhower,spoof
1297.wav,Alec Guinness,spoof
1300.wav,Mr. Rogers,spoof
1302.wav,Nelson Mandela,spoof
1307.wav,Bob Ross,spoof
1308.wav,Bill Clinton,spoof
1309.wav,Mitch Hedberg,spoof
1315.wav,Alec Guinness,spoof
1316.wav,Queen Elizabeth II,spoof
1321.wav,Christopher Hitchens,spoof
1332.wav,Bill Clinton,spoof
1335.wav,Alec Guinness,spoof
1336.wav,Queen Elizabeth II,spoof
1338.wav,Alan Watts,spoof
1339.wav,Tucker Carlson,spoof
1343.wav,Alec Guinness,spoof
1344.wav,Barack Obama,spoof
1348.wav,Orson Welles,spoof
1350.wav,Alec Guinness,spoof
1351.wav,Mark Zuckerberg,spoof
1353.wav,Christopher Hitchens,spoof
1355.wav,Bill Clinton,spoof
1359.wav,Martin Luther King,spoof
1361.wav,Ayn Rand,spoof
1367.wav,Martin Luther King,spoof
1371.wav,Queen Elizabeth II,spoof
1373.wav,Orson Welles,spoof
1375.wav,Alec Guinness,spoof
1376.wav,Alan Watts,spoof
1381.wav,Bill Clinton,spoof
1389.wav,FDR,spoof
1391.wav,Tucker Carlson,spoof
1392.wav,The Notorious B.I.G.,spoof
1393.wav,The Notorious B.I.G.,spoof
1397.wav,Norm MacDonald,spoof
1399.wav,Martin Luther King,spoof
1401.wav,Christopher Hitchens,spoof
1405.wav,Bernie Sanders,spoof
1407.wav,Alan Watts,spoof
1410.wav,JFK,spoof
1413.wav,Alec Guinness,spoof
1416.wav,FDR,spoof
1417.wav,Martin Luther King,spoof
1418.wav,Donald Trump,spoof
1423.wav,Ronald Reagan,spoof
1428.wav,Mr. Rogers,spoof
1432.wav,Ayn Rand,spoof
1434.wav,Bernie Sanders,spoof
1436.wav,Tucker Carlson,spoof
1437.wav,Mr. Rogers,spoof
1439.wav,George Carlin,spoof
1444.wav,Alec Guinness,spoof
1445.wav,Adam Driver,spoof
1446.wav,Adam Driver,spoof
1447.wav,Mark Zuckerberg,spoof
1452.wav,George W. Bush,spoof
1453.wav,Winston Churchill,spoof
1459.wav,Alec Guinness,spoof
1465.wav,Bill Clinton,spoof
1470.wav,Alec Guinness,spoof
1473.wav,Bernie Sanders,spoof
1475.wav,Adam Driver,spoof
1476.wav,John Cleese,spoof
1480.wav,Richard Nixon,spoof
1481.wav,Ronald Reagan,spoof
1483.wav,Nelson Mandela,spoof
1484.wav,Alec Guinness,spoof
1485.wav,Queen Elizabeth II,spoof
1486.wav,Norm MacDonald,spoof
1489.wav,Boris Johnson,spoof
1490.wav,Ronald Reagan,spoof
1491.wav,Ayn Rand,spoof
1493.wav,Nelson Mandela,spoof
1496.wav,Bill Burr,spoof
1499.wav,Adam Driver,spoof
1503.wav,The Notorious B.I.G.,spoof
1508.wav,Alec Guinness,spoof
1510.wav,Ronald Reagan,spoof
1512.wav,FDR,spoof
1515.wav,George W. Bush,spoof
1516.wav,George W. Bush,spoof
1517.wav,Ronald Reagan,spoof
1520.wav,Orson Welles,spoof
1521.wav,Bill Clinton,spoof
1522.wav,Ronald Reagan,spoof
1524.wav,Mr. Rogers,spoof
1527.wav,Barack Obama,spoof
1528.wav,Alan Watts,spoof
1530.wav,Bill Clinton,spoof
1532.wav,Christopher Hitchens,spoof
1533.wav,Nelson Mandela,spoof
1534.wav,JFK,spoof
1535.wav,Ronald Reagan,spoof
1536.wav,Bernie Sanders,spoof
1537.wav,Alec Guinness,spoof
1538.wav,Queen Elizabeth II,spoof
1539.wav,John Cleese,spoof
1543.wav,Alec Guinness,spoof
1546.wav,Ayn Rand,spoof
1548.wav,John Cleese,spoof
1550.wav,Ayn Rand,spoof
1553.wav,Dwight Eisenhower,spoof
1554.wav,Boris Johnson,spoof
1555.wav,Ayn Rand,spoof
1556.wav,Ronald Reagan,spoof
1559.wav,Mr. Rogers,spoof
1560.wav,Nelson Mandela,spoof
1561.wav,Alan Watts,spoof
1567.wav,Bill Clinton,spoof
1569.wav,Ronald Reagan,spoof
1574.wav,Christopher Hitchens,spoof
1575.wav,Frank Sinatra,spoof
1576.wav,Bernie Sanders,spoof
1583.wav,Malcolm X,spoof
1586.wav,Bernie Sanders,spoof
1592.wav,Louis Farrakhan,spoof
1598.wav,John Cleese,spoof
1602.wav,Bill Clinton,spoof
1603.wav,Bill Clinton,spoof
1604.wav,Ayn Rand,spoof
1609.wav,Alec Guinness,spoof
1610.wav,Christopher Hitchens,spoof
1613.wav,Bernie Sanders,spoof
1614.wav,Gilbert Gottfried,spoof
1627.wav,Alan Watts,spoof
1630.wav,Ronald Reagan,spoof
1632.wav,Alec Guinness,spoof
1633.wav,Ronald Reagan,spoof
1634.wav,Winston Churchill,spoof
1635.wav,Ronald Reagan,spoof
1637.wav,Bill Clinton,spoof
1638.wav,Alec Guinness,spoof
1639.wav,2Pac,spoof
1642.wav,Bernie Sanders,spoof
1643.wav,Milton Friedman,spoof
1644.wav,Alec Guinness,spoof
1647.wav,Alec Guinness,spoof
1648.wav,Ronald Reagan,spoof
1650.wav,Donald Trump,spoof
1655.wav,Bernie Sanders,spoof
1656.wav,Ronald Reagan,spoof
1664.wav,Adam Driver,spoof
1670.wav,Winston Churchill,spoof
1674.wav,Alec Guinness,spoof
1679.wav,Milton Friedman,spoof
1687.wav,Bernie Sanders,spoof
1688.wav,2Pac,spoof
1694.wav,Martin Luther King,spoof
1695.wav,Bill Clinton,spoof
1697.wav,Martin Luther King,spoof
1698.wav,Alan Watts,spoof
1699.wav,Alec Guinness,spoof
1700.wav,Bernie Sanders,spoof
1702.wav,Orson Welles,spoof
1704.wav,Norm MacDonald,spoof
1705.wav,Kanye West,spoof
1708.wav,Adam Driver,spoof
1711.wav,Alec Guinness,spoof
1714.wav,Boris Johnson,spoof
1715.wav,Martin Luther King,spoof
1716.wav,Barack Obama,spoof
1717.wav,Arnold Schwarzenegger,spoof
1719.wav,Queen Elizabeth II,spoof
1722.wav,Alec Guinness,spoof
1725.wav,Nelson Mandela,spoof
1735.wav,Malcolm X,spoof
1737.wav,FDR,spoof
1741.wav,The Notorious B.I.G.,spoof
1742.wav,The Notorious B.I.G.,spoof
1746.wav,George W. Bush,spoof
1748.wav,Ronald Reagan,spoof
1749.wav,Dwight Eisenhower,spoof
1753.wav,Boris Johnson,spoof
1755.wav,Barack Obama,spoof
1756.wav,Ayn Rand,spoof
1759.wav,Alec Guinness,spoof
1760.wav,Ronald Reagan,spoof
1761.wav,The Notorious B.I.G.,spoof
1763.wav,Ayn Rand,spoof
1768.wav,JFK,spoof
1771.wav,Alec Guinness,spoof
1772.wav,Bill Clinton,spoof
1773.wav,Nelson Mandela,spoof
1776.wav,Alec Guinness,spoof
1777.wav,Bob Ross,spoof
1779.wav,FDR,spoof
1783.wav,George W. Bush,spoof
1785.wav,Bernie Sanders,spoof
1786.wav,Bob Ross,spoof
1788.wav,Queen Elizabeth II,spoof
1789.wav,JFK,spoof
1790.wav,Bill Clinton,spoof
1794.wav,Queen Elizabeth II,spoof
1795.wav,Mark Zuckerberg,spoof
1797.wav,Alexandria Ocasio-Cortez,spoof
1799.wav,Ronald Reagan,spoof
1800.wav,Bill Clinton,spoof
1808.wav,Barack Obama,spoof
1810.wav,Barack Obama,spoof
1811.wav,Bill Clinton,spoof
1814.wav,The Notorious B.I.G.,spoof
1815.wav,Donald Trump,spoof
1816.wav,Tucker Carlson,spoof
1818.wav,Queen Elizabeth II,spoof
1827.wav,Tucker Carlson,spoof
1832.wav,Barack Obama,spoof
1834.wav,Malcolm X,spoof
1836.wav,Bernie Sanders,spoof
1839.wav,Alec Guinness,spoof
1843.wav,Alec Guinness,spoof
1845.wav,FDR,spoof
1846.wav,Ronald Reagan,spoof
1853.wav,2Pac,spoof
1859.wav,Ronald Reagan,spoof
1863.wav,Bob Ross,spoof
1866.wav,Alec Guinness,spoof
1867.wav,Alan Watts,spoof
1870.wav,Malcolm X,spoof
1872.wav,Ayn Rand,spoof
1875.wav,Alec Guinness,spoof
1876.wav,Ayn Rand,spoof
1880.wav,Orson Welles,spoof
1882.wav,Kanye West,spoof
1883.wav,Alec Guinness,spoof
1886.wav,Bernie Sanders,spoof
1890.wav,Martin Luther King,spoof
1891.wav,Ayn Rand,spoof
1893.wav,Queen Elizabeth II,spoof
1898.wav,FDR,spoof
1900.wav,Alec Guinness,spoof
1902.wav,Orson Welles,spoof
1904.wav,Bill Clinton,spoof
1908.wav,Bill Clinton,spoof
1917.wav,Boris Johnson,spoof
1918.wav,Bernie Sanders,spoof
1922.wav,Ronald Reagan,spoof
1923.wav,Bill Burr,spoof
1928.wav,Christopher Hitchens,spoof
1930.wav,George W. Bush,spoof
1931.wav,Norm MacDonald,spoof
1932.wav,Christopher Hitchens,spoof
1933.wav,Ronald Reagan,spoof
1935.wav,FDR,spoof
1941.wav,Bernie Sanders,spoof
1944.wav,JFK,spoof
1951.wav,The Notorious B.I.G.,spoof
1955.wav,Ayn Rand,spoof
1957.wav,JFK,spoof
1962.wav,Ayn Rand,spoof
1965.wav,Ayn Rand,spoof
1974.wav,Alan Watts,spoof
1980.wav,Barack Obama,spoof
1982.wav,Winston Churchill,spoof
1983.wav,Bernie Sanders,spoof
1984.wav,Ayn Rand,spoof
1985.wav,Alec Guinness,spoof
1988.wav,Bill Clinton,spoof
1989.wav,Bernie Sanders,spoof
1990.wav,Bernie Sanders,spoof
1993.wav,Ayn Rand,spoof
1996.wav,Adam Driver,spoof
2001.wav,Bill Clinton,spoof
2002.wav,Alan Watts,spoof
2003.wav,Alec Guinness,spoof
2004.wav,Queen Elizabeth II,spoof
2005.wav,The Notorious B.I.G.,spoof
2006.wav,Alec Guinness,spoof
2007.wav,Ayn Rand,spoof
2010.wav,Louis Farrakhan,spoof
2012.wav,Bernie Sanders,spoof
2016.wav,Ronald Reagan,spoof
2025.wav,Bernie Sanders,spoof
2030.wav,Alec Guinness,spoof
2031.wav,Norm MacDonald,spoof
2034.wav,Alexandria Ocasio-Cortez,spoof
2043.wav,Bernie Sanders,spoof
2044.wav,Arnold Schwarzenegger,spoof
2045.wav,Mr. Rogers,spoof
2046.wav,Martin Luther King,spoof
2047.wav,Alec Guinness,spoof
2048.wav,Bernie Sanders,spoof
2055.wav,Christopher Hitchens,spoof
2056.wav,2Pac,spoof
2060.wav,Bernie Sanders,spoof
2062.wav,Milton Friedman,spoof
2065.wav,Bernie Sanders,spoof
2066.wav,Christopher Hitchens,spoof
2067.wav,Nelson Mandela,spoof
2071.wav,Alec Guinness,spoof
2074.wav,Alec Guinness,spoof
2076.wav,Alec Guinness,spoof
2078.wav,Alec Guinness,spoof
2081.wav,Bill Clinton,spoof
2083.wav,Alec Guinness,spoof
2087.wav,Ayn Rand,spoof
2088.wav,Queen Elizabeth II,spoof
2089.wav,Frank Sinatra,spoof
2096.wav,Christopher Hitchens,spoof
2097.wav,Donald Trump,spoof
2099.wav,The Notorious B.I.G.,spoof
2104.wav,Dwight Eisenhower,spoof
2108.wav,Ayn Rand,spoof
